1,1,0,429,2,458,887
2,4,49,510,3,542,996
3,5,101,591,6,620,1099
4,7,150,672,8,701,1205
5,1,429,858,2,887,1337
6,4,510,964,3,996,1446
7,5,591,1070,6,1099,1549
8,7,672,1176,8,1205,1655
9,1,858,1308,2,1337,1787
10,4,964,1414,3,1446,1896
11,5,1070,1520,6,1549,1999
12,7,1176,1626,8,1655,2105
13,1,1308,1758,2,1787,2237
14,4,1414,1864,3,1896,2346
15,5,1520,1970,6,1999,2449
16,7,1626,2076,8,2105,2555
17,1,1758,2208,2,2237,2687
18,4,1864,2314,3,2346,2796
19,5,1970,2420,6,2449,2899
20,7,2076,2526,8,2555,3005
21,1,2208,2658,2,2687,3137
22,4,2314,2764,3,2796,3246
23,5,2420,2870,6,2899,3349
24,7,2526,2976,8,3005,3455
25,1,2658,3108,2,3137,3587
26,4,2764,3214,3,3246,3696
27,5,2870,3320,6,3349,3799
28,7,2976,3426,8,3455,3905
29,1,3108,3558,2,3587,4037
30,4,3214,3664,3,3696,4146
31,5,3320,3770,6,3799,4249
32,7,3426,3876,8,3905,4355
33,1,3558,4008,2,4037,4487
34,4,3664,4114,3,4146,4596
35,5,3770,4220,6,4249,4699
36,7,3876,4326,8,4355,4805
37,1,4008,4458,2,4487,4937
38,4,4114,4564,3,4596,5046
39,5,4220,4670,6,4699,5149
40,7,4326,4776,8,4805,5255
41,1,4458,4908,2,4937,5387
42,4,4564,5014,3,5046,5496
43,5,4670,5120,6,5149,5599
44,7,4776,5226,8,5255,5705
45,1,4908,5358,2,5387,5837
46,4,5014,5464,3,5496,5946
47,5,5120,5570,6,5599,6049
48,7,5226,5676,8,5705,6155
49,1,5358,5808,2,5837,6287
50,4,5464,5914,3,5946,6396
51,5,5570,6020,6,6049,6499
52,7,5676,6126,8,6155,6605
53,1,5808,6258,2,6287,6737
54,4,5914,6364,3,6396,6846
55,5,6020,6470,6,6499,6949
56,7,6126,6576,8,6605,7055
57,1,6258,6708,2,6737,7187
58,4,6364,6814,3,6846,7296
59,5,6470,6920,6,6949,7399
60,7,6576,7026,8,7055,7505
61,1,6708,7158,2,7187,7637
62,4,6814,7264,3,7296,7746
63,5,6920,7370,6,7399,7849
64,7,7026,7476,8,7505,7955
65,1,7158,7608,2,7637,8087
66,4,7264,7714,3,7746,8196
67,5,7370,7820,6,7849,8299
68,7,7476,7926,8,7955,8405
69,1,7608,8058,2,8087,8537
70,4,7714,8164,3,8196,8646
71,5,7820,8270,6,8299,8749
72,7,7926,8376,8,8405,8855
73,1,8058,8508,2,8537,8987
74,4,8164,8614,3,8646,9096
75,5,8270,8720,6,8749,9199
76,7,8376,8826,8,8855,9305
77,1,8508,8958,2,8987,9437
78,4,8614,9064,3,9096,9546
79,5,8720,9170,6,9199,9649
80,7,8826,9276,8,9305,9755
81,1,8958,9408,2,9437,9887
82,4,9064,9514,3,9546,9996
83,5,9170,9620,6,9649,10099
84,7,9276,9726,8,9755,10205
85,1,9408,9858,2,9887,10337
86,4,9514,9964,3,9996,10446
87,5,9620,10070,6,10099,10549
88,7,9726,10176,8,10205,10655
89,1,9858,10308,2,10337,10787
90,4,9964,10414,3,10446,10896
91,5,10070,10520,6,10549,10999
92,7,10176,10626,8,10655,11105
93,1,10308,10758,2,10787,11237
94,4,10414,10864,3,10896,11346
95,5,10520,10970,6,10999,11449
96,7,10626,11076,8,11105,11555
97,1,10758,11208,2,11237,11687
98,4,10864,11314,3,11346,11796
99,5,10970,11420,6,11449,11899
100,7,11076,11526,8,11555,12005
101,1,11208,11658,2,11687,12137
102,4,11314,11764,3,11796,12246
103,5,11420,11870,6,11899,12349
